ball_speed_mph,launch_angle_deg,launch_direction_deg,spin_rate_rpm,spin_axis_deg,predicted_carry_yd,predicted_lateral_yd,predicted_apex_yd,target_distance_yd,target_lateral_yd,forward_error_yd,lateral_error_yd,objective_yd,support_knn_distance,support_threshold,support_category,row_type,source,sample_count,candidate_id,rank,seed,mean_miss_distance_yd,median_miss_distance_yd,p90_miss_distance_yd,maximum_miss_distance_yd,probability_within_3yd,probability_within_5yd,simulations
120.750989557,19.4818696149,0,1183.67346939,-3.0612244898,181.080173363,-1.88548816072,26.2947796411,200,0,-18.9198266365,-1.88548816072,19.013545318,0.708193945402,1.01189547215,supported,grid,,,,,,,,,,,,
120.750989557,19.4818696149,0,1183.67346939,-1.83673469388,181.080173363,0.217525113029,26.2947796411,200,0,-18.9198266365,0.217525113029,18.9210770605,0.699507271864,1.01189547215,supported,grid,,,,,,,,,,,,
120.750989557,19.4818696149,0,1183.67346939,-0.612244897959,181.080173363,1.21239727523,26.2947796411,200,0,-18.9198266365,1.21239727523,18.9586325221,0.694511769036,1.01189547215,supported,grid,,,,,,,,,,,,
120.750989557,19.4818696149,0,1183.67346939,0.612244897959,181.432442008,2.17667614341,25.984646864,200,0,-18.5675579925,2.17667614341,18.6947085786,0.693243141357,1.01189547215,supported,grid,,,,,,,,,,,,
120.750989557,19.4818696149,0,1183.67346939,1.83673469388,181.432442008,3.87849200732,25.984646864,200,0,-18.5675579925,3.87849200732,18.968313316,0.695687533732,1.01189547215,supported,grid,,,,,,,,,,,,
120.750989557,19.4818696149,0,1183.67346939,3.0612244898,181.48639432,4.37498646124,25.984646864,200,0,-18.5136056795,4.37498646124,19.0235144438,0.70178344942,1.01189547215,supported,grid,,,,,,,,,,,,
120.750989557,19.4818696149,0,1183.67346939,4.28571428571,181.48639432,4.69286516452,25.7976096521,200,0,-18.5136056795,4.69286516452,19.099125077,0.711428169179,1.01189547215,supported,grid,,,,,,,,,,,,
120.750989557,19.4818696149,0,1183.67346939,5.51020408163,181.406419231,4.71471168444,25.7007037434,200,0,-18.593580769,4.71471168444,19.1820163716,0.724486170148,1.01189547215,supported,grid,,,,,,,,,,,,
120.750989557,19.4818696149,0,1183.67346939,6.73469387755,181.406419231,7.97785031353,25.6917339655,200,0,-18.593580769,7.97785031353,20.2328283104,0.740797274621,1.01189547215,supported,grid,,,,,,,,,,,,
120.750989557,19.4818696149,0,1183.67346939,7.95918367347,181.374607293,8.61647571258,25.6615427952,200,0,-18.6253927067,8.61647571258,20.5219128539,0.760183458236,1.01189547215,supported,grid,,,,,,,,,,,,
120.750989557,19.4818696149,0,1183.67346939,9.18367346939,181.374607293,9.10422726067,25.6488806334,200,0,-18.6253927067,9.10422726067,20.7314304256,0.782454337746,1.01189547215,supported,grid,,,,,,,,,,,,
120.750989557,19.4818696149,0,1183.67346939,10.4081632653,181.374607293,9.51735608347,25.6308911234,200,0,-18.6253927067,9.51735608347,20.9161497484,0.807411827766,1.01189547215,supported,grid,,,,,,,,,,,,
120.750989557,19.4818696149,0,1183.67346939,11.6326530612,181.374607293,14.4525243303,25.6208049632,200,0,-18.6253927067,14.4525243303,23.5750018663,0.834854396606,1.01189547215,supported,grid,,,,,,,,,,,,
120.750989557,19.4818696149,0,1183.67346939,12.8571428571,181.374607293,14.2114710869,25.6208049632,200,0,-18.6253927067,14.2114710869,23.4279995717,0.852925763578,1.01189547215,supported,grid,,,,,,,,,,,,
120.750989557,19.4818696149,0,1183.67346939,14.0816326531,181.374607293,15.0787622872,25.6208049632,200,0,-18.6253927067,15.0787622872,23.9640214821,0.871200048457,1.01189547215,supported,grid,,,,,,,,,,,,
120.750989557,19.4818696149,0,1183.67346939,15.306122449,181.374607293,15.6925692346,25.5989985825,200,0,-18.6253927067,15.6925692346,24.354917012,0.891756718141,1.01189547215,supported,grid,,,,,,,,,,,,
120.750989557,19.4818696149,0,1183.67346939,16.5306122449,181.374607293,17.342095002,25.5989985825,200,0,-18.6253927067,17.342095002,25.4490375562,0.914457678646,1.01189547215,supported,grid,,,,,,,,,,,,
120.750989557,19.4818696149,0,1183.67346939,17.7551020408,181.597468201,17.9768878905,25.6288825407,200,0,-18.4025317994,17.9768878905,25.7258950254,0.934348447154,1.01189547215,supported,grid,,,,,,,,,,,,
120.750989557,19.4818696149,0,1183.67346939,18.9795918367,181.597468201,19.7138580939,25.6288825407,200,0,-18.4025317994,19.7138580939,26.9683032016,0.948717209602,1.01189547215,supported,grid,,,,,,,,,,,,
120.750989557,19.4818696149,0,1183.67346939,20.2040816327,181.597468201,21.5359829561,25.5790403603,200,0,-18.4025317994,21.5359829561,28.3275791149,0.959166780098,1.01189547215,supported,grid,,,,,,,,,,,,
120.750989557,19.4818696149,0,1183.67346939,21.4285714286,181.597468201,21.5359829561,25.519254547,200,0,-18.4025317994,21.5359829561,28.3275791149,0.96930103457,1.01189547215,supported,grid,,,,,,,,,,,,
120.750989557,19.4818696149,0,1183.67346939,22.6530612245,180.449153562,21.5600902138,25.519254547,200,0,-19.5508464378,21.5600902138,29.1045200349,0.981734818677,1.01189547215,supported,grid,,,,,,,,,,,,
