candidate_id,parameter_scenario,model_member_count,model_combination_rule,simulation_count,mean_miss_distance_yd,median_miss_distance_yd,p90_miss_distance_yd,p95_miss_distance_yd,worst_model_mean_miss_yd,probability_within_3yd,probability_within_5yd,objective_prediction_std,support_category,objective_yd,support_knn_distance,decision_space_support,full_model_input_support,out_of_support_fraction
local_2026_02983,ordinary_player,5,paired_5_carry_5_lateral_by_member_index,10000,5.71930509429,5.22835622428,9.78184263132,11.0344213084,8.00356135827,0.2105,0.4819,1.84328035783,supported,0.196358128797,0.684265136885,supported,supported,0
local_2030_00471,ordinary_player,5,paired_5_carry_5_lateral_by_member_index,10000,6.26721589848,5.99406460486,10.4772673759,11.5126472035,8.79438529473,0.1577,0.3753,1.51524915638,supported,0.197183114728,0.38200046192,supported,supported,0
local_2030_02803,ordinary_player,5,paired_5_carry_5_lateral_by_member_index,10000,6.18567155798,5.9449914668,10.2974647106,11.3834902554,8.63412915717,0.1594,0.3823,1.65294285108,supported,0.197183114728,0.394459070261,supported,supported,0
local_2030_00084,ordinary_player,5,paired_5_carry_5_lateral_by_member_index,10000,6.35524813187,6.11157645366,10.5342507244,11.6236228404,8.27384532678,0.1499,0.3566,1.12074782996,supported,0.199282944496,0.458980749117,supported,supported,0
local_2029_04102,ordinary_player,5,paired_5_carry_5_lateral_by_member_index,10000,7.332853808,6.29311258536,13.4141401101,15.0102448376,8.33293690793,0.1093,0.359,1.0903402417,supported,0.201417492022,0.757720311186,supported,supported,0
local_2029_02121,ordinary_player,5,paired_5_carry_5_lateral_by_member_index,10000,6.92328600078,5.86250166371,12.7126389165,14.4910253124,7.82474852404,0.1225,0.3954,0.965817146318,supported,0.201417492022,0.76458040863,supported,supported,0
local_2027_02878,ordinary_player,5,paired_5_carry_5_lateral_by_member_index,10000,6.95264100345,5.91455109638,12.8401248061,14.4926448968,7.79837818887,0.1228,0.3906,0.981776136942,supported,0.201417492022,0.768383965703,supported,supported,0
local_2029_02822,ordinary_player,5,paired_5_carry_5_lateral_by_member_index,10000,7.36949555475,6.3182870361,13.4786220289,15.0113113065,8.39394674041,0.1095,0.3576,1.12889121031,supported,0.201417492022,0.769296362128,supported,supported,0
local_2029_00172,ordinary_player,5,paired_5_carry_5_lateral_by_member_index,10000,6.84238308436,5.79462402372,12.6722682219,14.3098615635,7.65635942544,0.1281,0.4012,0.953643953225,supported,0.201417492022,0.771188081055,supported,supported,0
local_2029_01475,ordinary_player,5,paired_5_carry_5_lateral_by_member_index,10000,7.2931446808,6.26060421279,13.4127918276,14.9340340872,8.27943837972,0.1128,0.364,1.11105344702,supported,0.201417492022,0.779934780006,supported,supported,0
local_2026_03477,ordinary_player,5,paired_5_carry_5_lateral_by_member_index,10000,6.33179012527,5.91351738441,11.0076217758,11.8555762128,9.73472307381,0.1716,0.4216,2.50407324273,supported,0.20154875045,0.657394699035,supported,supported,0
local_2028_00914,ordinary_player,5,paired_5_carry_5_lateral_by_member_index,10000,5.90414831928,5.39213435257,10.3145590285,11.6455260764,7.37972512228,0.2009,0.4488,1.36420542633,supported,0.202289688449,0.941368246998,supported,supported,0
local_2026_01941,ordinary_player,5,paired_5_carry_5_lateral_by_member_index,10000,5.99058975158,5.51132374134,10.1176154453,11.3567493228,8.46974006065,0.1825,0.4522,2.01309411253,supported,0.203023770445,0.711668260133,supported,supported,0
local_2027_02095,ordinary_player,5,paired_5_carry_5_lateral_by_member_index,10000,6.42476069064,5.42285989009,12.1462737053,13.4998103679,7.19429091722,0.1595,0.4493,1.04587357384,supported,0.20302901022,0.82138660414,supported,supported,0
local_2029_04865,ordinary_player,5,paired_5_carry_5_lateral_by_member_index,10000,7.04221183628,6.01531426667,12.8753757566,14.3712677834,8.03299672237,0.1326,0.3947,1.20055503289,supported,0.20302901022,0.826426000536,supported,supported,0
local_2029_03368,ordinary_player,5,paired_5_carry_5_lateral_by_member_index,10000,6.23409079842,5.26925927174,11.9004223912,13.2392018176,7.00291737855,0.1702,0.4645,0.986110038942,supported,0.203042220463,0.781085267417,supported,supported,0
local_2029_01186,ordinary_player,5,paired_5_carry_5_lateral_by_member_index,10000,7.22034726611,6.21871382008,13.1207910187,14.4735352649,8.24035700317,0.1252,0.3768,1.29843195627,supported,0.203042220463,0.789804636778,supported,supported,0
