x,carry_distance_yd,feature,feature_label
116.4325,166.5792,ball_speed_mph,Ball speed
102.1161,139.2388,ball_speed_mph,Ball speed
111.556,161.5704,ball_speed_mph,Ball speed
122.8302,168.9414,ball_speed_mph,Ball speed
95.6514,118.3946,ball_speed_mph,Ball speed
89.0748,104.6807,ball_speed_mph,Ball speed
121.5551,172.1019,ball_speed_mph,Ball speed
100.7292,101.6732,ball_speed_mph,Ball speed
97.3738,114.8731,ball_speed_mph,Ball speed
122.7407,145.2537,ball_speed_mph,Ball speed
111.9139,113.353,ball_speed_mph,Ball speed
123.121,169.2695,ball_speed_mph,Ball speed
104.8005,136.2861,ball_speed_mph,Ball speed
131.4424,183.7708,ball_speed_mph,Ball speed
130.3239,182.7428,ball_speed_mph,Ball speed
116.6562,121.3583,ball_speed_mph,Ball speed
123.9934,153.259,ball_speed_mph,Ball speed
109.2072,135.444,ball_speed_mph,Ball speed
120.034,167.5197,ball_speed_mph,Ball speed
102.2727,120.713,ball_speed_mph,Ball speed
88.0682,102.4825,ball_speed_mph,Ball speed
86.8602,115.5731,ball_speed_mph,Ball speed
87.9787,121.3801,ball_speed_mph,Ball speed
80.731,105.818,ball_speed_mph,Ball speed
80.0376,100.6343,ball_speed_mph,Ball speed
90.7078,121.7629,ball_speed_mph,Ball speed
97.7541,137.9265,ball_speed_mph,Ball speed
91.1999,120.199,ball_speed_mph,Ball speed
98.1344,134.6785,ball_speed_mph,Ball speed
101.0648,148.1955,ball_speed_mph,Ball speed
98.2686,140.2668,ball_speed_mph,Ball speed
98.5147,139.1842,ball_speed_mph,Ball speed
104.9347,147.0363,ball_speed_mph,Ball speed
99.6108,140.8246,ball_speed_mph,Ball speed
94.8908,130.5227,ball_speed_mph,Ball speed
92.9447,102.7559,ball_speed_mph,Ball speed
130.8384,209.0332,ball_speed_mph,Ball speed
90.8867,92.3556,ball_speed_mph,Ball speed
126.7001,199.9344,ball_speed_mph,Ball speed
